spicy,category_id,category_name,category_icon,name,price,lunch,count,description
,appetizer,Appetizer,knife36.svg,Pot Sticker,$8.50,,6,Hand rolled Chinese pastry stuffed with a ginger-infused mixture of ground pork and Napa cabbage lightly pan-fried to a golden brown.
,appetizer,Appetizer,knife36.svg,Steamed Vegetarian Pot Stickers,$8.50,,6,"A seasoned mixture of minced Shiitake mushrooms, Napa cabbage, tofu, and mung bean thread wrapped in a hand rolled thin Chinese pastry steamed and served in a bamboo basket."
,appetizer,Appetizer,knife36.svg,Spring Rolls,$8.50,,4,"A light mixture of fresh shredded cabbage, celery, onions, and garlic encased in a thin crepe, deep-fried to a golden brown and served with Xiao Loong’s sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,knife36.svg,Xiao Loong Bow,$9.95,,8,"Hand rolled thin Chinese pastry, generously stuffed with ginger marinated ground pork, then steamed 'til plump and juicy."
,appetizer,Appetizer,knife36.svg,Prawns and Chinese Chive Dumplings,$9.95,,10,"Delicate Chinese hand rolled pastry filled with a mixture of rough chopped prawns, Chinese chives, and ginger.Cooked quickly in boiling hot water to seal in the juices."
,appetizer,Appetizer,knife36.svg,Xiao Loong’s Pan-Pacific Wonton,$8.95,,8,"A flavorful mixture of crabmeat, cream cheese, and green onions encased in a thin Chinese pastry, deep-fried to a golden brown and served with Xiao Loong’s sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,knife36.svg,House Wonton,$8.95,,10,"An aromatic mixture of ground pork and Chinese spices wrapped in a delicate Chinese pastry, deep-fried to a crispy golden brown and served with Xiao Loong’s sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,knife36.svg,Chinese-Style Fried Calamari,$8.95,,,"Tender chunks of calamari, lightly fried in a thin flour coating, served with Xiao Loong’s sweet & sour sauce and Chinese hot mustard."
,appetizer,Appetizer,knife36.svg,"Mu Shu (pork, beef, chicken, or vegetable)",$10.95,,,"A combination of thinly sliced cabbage, willow tree fungus, fluffed eggs, and your choice of shredded pork, sliced beef, diced chicken, or vegetables, sautéed in our house soy sauce accompanied by four house made hand-rolled pancakes, julienned scallions, and hoison sauce. Additional pancakes $0.75 each"
,appetizer,Appetizer,knife36.svg,Mu Shu (prawns or lamb),$11.95,,,"A combination of thinly sliced cabbage, willow tree fungus, fluffed eggs, and your choice of shredded pork, sliced beef, diced chicken, or vegetables, sautéed in our house soy sauce accompanied by four house made hand-rolled pancakes, julienned scallions, and hoison sauce. Additional pancakes $0.75 each"
yes,soup,Soup,bowl16.svg,Hot and Sour Soup,$8/$11/$13,,,"A Northern Chinese mixture of shredded chicken, shrimp, julieened shiitake mushrooms, tofu, peas, and willow tree fungus in a peppery and flavorful chicken broth finished with whipped eggs."
,soup,Soup,bowl16.svg,Wonton Soup,$8/$11/$14,,,Our house pork wontons served in a rich chicken broth with spinach and sliced shiitake mushrooms.
,soup,Soup,bowl16.svg,Sizzling Rice Soup,$8/$11/$15,,,"A fresh mélange of shredded chicken, shrimp, water chestnuts, sliced shiitake mushrooms, peas, and spinach in a light chicken broth topped with sizzling rice served tableside."
,soup,Soup,bowl16.svg,Xiao Loong in the Garden,$8/$11/$16,,,"A mixture of shrimp, sliced shiitake mushrooms, spinach, and tomatoes, in a rich chicken broth finished with whipped eggs"
,soup,Soup,bowl16.svg,Chicken and Shiitake Mushroom Soup,$8/$11/$17,,,"Sliced tender chicken breast with whole shiitake mushrooms, crisp Napa cabbage in a light, clear chicken broth."
,soup,Soup,bowl16.svg,Nori Seaweed Soup,$8/$11/$18,,,"A mixture of spinach, shrimp, sliced shiitake mushrooms, and nori seaweed in a rich chicken broth finished with whipped eggs."
yes,seafood,Seafood,fish1.svg,Xiao Loong’s Spicy Chili Prawns,$11.95,$7.50,,"Prawns stir-fried with chopped garlic, minced ginger, and our house chili sauce; a delightfully spicy and aromatic dish that must be tried."
yes,seafood,Seafood,fish1.svg,Kung Pao Prawns,$11.95,$7.50,,"Tender prawns sautéed with roasted red hot peppers, green onion bulbs, bell peppers, white onions, and fresh roasted peanuts tossed in a spicy Kung Pao sauce."
yes,seafood,Seafood,fish1.svg,Sichuan Dry Fried Prawns,$11.95,,,Light fluffy deep-fried prawns flash-fried and tossed with chili pods and a spicy garlic and ginger sauce.
,seafood,Seafood,fish1.svg,Lobster Sauce Prawns,$11.95,$7.50,,"Tender prawns braised with fresh garlic, green peas, and finished with whipped eggs in a wine and  lobster-infused sauce."
,seafood,Seafood,fish1.svg,Snow Peas and Prawns,$12.95,,,Fresh snow peas stir-fried quickly with tender prawns in a garlic wine sauce.
,seafood,Seafood,fish1.svg,White Prawns,$11.95,,,"Tender prawns sautéed in a light garlic-infused wine sauce served atop blanched broccoli, a simple prawn dish that accentuates the essence of prawns."
,seafood,Seafood,fish1.svg,Clay Pot Prawns and Tofu,$11.95,$7.50,,"Prawns and diced tofu simmered in white wine, garlic, peas, and mushrooms; served in a sizzling hot clay pot."
,seafood,Seafood,fish1.svg,Three Ingredients,$12.95,,,"Tender prawns, whole scallops, and calamari with fresh snow peas sautéed in a light garlic wine sauce."
,seafood,Seafood,fish1.svg,White Scallops,$12.95,,,"Whole large scallops sautéed in a light garlic-infused wine sauce served atop blanched broccoli, a simple scallop dish that accentuates the essence of scallops."
yes,seafood,Seafood,fish1.svg,Spicy Dry Fried Calamari,$11.95,$7.50,,Deep-fried chunks of calamari flash-fried and tossed with a spicy ginger and garlic sauce.
yes,seafood,Seafood,fish1.svg,Happy Family,$12.95,,,Assorted seafood and vegetables stir-fried with fresh ginger and garlic in a spicy wine sauce.
yes,seafood,Seafood,fish1.svg,Spicy Lemon Pepper Prawns,$11.95,,,"Tender prawns stir-fried with sliced yellow onions, minced garlic, and a spicy lemon pepper mixture."
yes,seafood,Seafood,fish1.svg,Xiao Loong’s Hot Braised Fish,A.Q,,,"Our daily fish topped with a rich spicy mixture of minced black mushrooms, water chestnuts, bamboo shoots, fresh ginger, chili, and garlic."
,seafood,Seafood,fish1.svg,Xiao Loong’s Steamed Fish,A.Q,,,"Our daily fish steamed with julienned fresh ginger, chopped green onions and sliced shiitake mushrooms in our house Chinese wine sauce, all topped with smoking hot oil to draw the essence from the fresh aromatics."
yes,seafood,Seafood,fish1.svg,Hunan Steamed Fish,A.Q,,,"Our daily fish steamed with roasted red hot peppers, fermented black beans, minced fresh ginger, and chopped garlic in our house Chinese wine sauce"
,seafood,Seafood,fish1.svg,Shandong Braised Fish,A.Q,,,"Our daily fish braised with fresh vegetables, black mushrooms, and tofu chunks in a Chinese anise-infused pepper sauce."
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Mongolian Beef,$10.95,$6.95,,"Tender sliced beef sautéed with green onions, julienned yellow onions, and roasted red hot peppers in our house sauce served on a bed of crispy rice noodles."
,beef_lamb_pork,"Beef, Lamb, Pork",,Xiao Loong Beef,$10.95,$6.95,,Sliced flank steak marinated in a garlic-infused sweet and peppery sauce stir-fried and placed on a bed of freshly chopped cabbage topped with toasted sesame seeds.
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Mandarin Beef,$10.95,,,Deep-fried sliced flank steak strips tossed with roasted red hot peppers and a spicy ginger garlic sauce.
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Kung Pao Beef,$10.95,$6.95,,"Xiao Loong’s spicy Kung Pao sauce coats a generous blend of sliced flank steak sautéed with roasted red hot  peppers, green onion bulbs, bell peppers, white onions, and fresh roasted peanuts."
,beef_lamb_pork,"Beef, Lamb, Pork",,Broccoli Beef,$10.95,$6.95,,Sliced tender beef with a mixture of fresh broccoli flowerets quickly stir-fried in our house sauce.
,beef_lamb_pork,"Beef, Lamb, Pork",,Snow Peas Beef,$10.95,,,Sliced tender beef with a mixture of fresh snow peas quickly stir-fried in our house soy sauce.
,beef_lamb_pork,"Beef, Lamb, Pork",,Shiitake Mushroom Beef,$10.95,$6.95,,"A generous serving of whole Shiitake mushrooms stir-fried with sliced tender beef in our house sauce, a mushroom lover’s delight."
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Mongolian Lamb,$11.95,,,Tender sliced leg of lamb sautéed with green onions and roasted red hot peppers in our house sauce served on a bed of crispy rice noodles.
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Gao Lan,$11.95,$6.95,,"Thinly sliced leg of lamb marinated in Sichuan spices, then quickly sautéed to perfection and served with julienned scallions."
yes,beef_lamb_pork,"Beef, Lamb, Pork",,Spicy Sichuan Harbor Pork,$10.95,,,"Julienned pork sautéed with water chestnuts, willow tree fungus, and fresh ginger in a spicy garlic sauce."
,beef_lamb_pork,"Beef, Lamb, Pork",,Sweet and Sour Pork,$10.95,,,Tender chunks of lean pork deep-fried in batter and quickly tossed with onions and bell peppers in our tangy ginger-sweet and sour sauce.
